Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Loan_Approved
37,43473,562,7043,2,0
22,16964,629,2564,0,1
29,68942,674,22957,3,0
50,36653,901,1140,9,1
20,32157,436,20663,1,0
36,18726,857,-1936,0,1
41,14825,679,7797,0,1
37,56679,459,-5723,5,0
36,36804,410,5911,3,0
41,46455,785,3403,12,1
34,50834,396,12799,4,0
31,56434,697,20906,3,1
34,51201,789,7486,2,0
30,56051,285,-15479,7,0
37,46053,495,15496,2,0
48,-256,429,-23826,2,0
36,55444,739,19655,5,1
28,43391,505,-28685,6,0
30,45158,845,8881,5,1
30,26362,773,970,0,1
38,56222,515,-348,4,0
30,19489,739,9016,0,1
32,18193,846,1471,4,1
35,72869,729,25100,6,1
39,53868,825,17677,4,1
29,44366,412,-1956,4,0
32,56737,766,10817,0,1
35,47544,566,-6664,4,0
38,39289,924,10443,1,1
36,54041,458,6642,4,0
37,4691,708,-12847,2,1
42,48156,497,17071,2,0
36,29949,509,-342,2,0
29,20128,912,-7426,0,1
27,21336,821,7592,0,1
36,30941,595,13495,0,0
35,46587,864,24797,7,1
36,43489,411,7712,3,0
37,8577,797,-2479,0,1
48,58086,621,-21395,6,0
27,24492,513,8222,1,0
30,17388,806,14072,0,1
27,32180,550,-7903,3,0
43,20688,737,-13887,12,1
25,43434,702,14840,0,1
40,43913,747,7596,10,1
28,66835,460,-23455,8,0
25,29458,808,17343,0,1
38,52140,803,18067,7,1
37,32321,538,-22828,4,0
42,54976,516,-3368,5,0
28,29429,944,2659,3,1
41,56320,673,21369,0,1
48,47608,517,24960,2,0
26,80698,620,-28486,8,0
20,37143,840,20170,1,1
35,54152,480,18225,3,0
26,25364,724,-24,0,1
45,52048,603,21020,2,0
40,28120,577,25379,0,0
47,19079,661,-2681,0,1
12,32771,634,-10988,2,0
42,16236,742,35744,0,0
30,45933,771,17997,1,1
46,38440,728,4872,5,1
33,22409,984,16969,0,1
45,27929,885,537,7,1
32,17489,481,12657,0,0
28,24042,641,-8490,1,0
36,17741,559,-3433,1,0
26,32551,835,-4241,5,1
46,20228,800,6844,4,1
39,8365,596,22354,0,0
25,26211,564,-23243,1,0
45,52881,438,-23846,7,0
42,52939,353,3797,5,0
40,35788,851,16756,0,1
26,43253,438,-520,4,0
37,19470,1030,-170,2,1
46,52633,857,16510,10,1
23,40544,599,-3472,3,0
53,51848,482,-12469,5,0
29,24941,967,10687,0,1
29,77814,576,10106,5,0
35,29219,639,21379,0,0
33,43019,519,33964,0,0
34,74783,717,1953,5,0
24,52443,565,-9095,10,1
46,17197,562,13505,0,0
39,65022,555,17071,4,0
48,61271,453,-3838,6,0
21,55167,615,13493,3,1
50,46721,472,-20111,5,0
23,24648,445,-17738,3,0
39,50526,715,12528,4,1
31,59142,662,8890,5,1
36,29815,911,-9331,11,1
34,35734,662,-11662,9,1
21,32737,511,53872,0,0
36,12510,462,2804,0,0
34,35879,578,21394,0,0
32,42267,692,-47,6,1
36,37750,844,12305,3,1
32,15615,531,-17642,2,0
42,23983,582,-11909,2,0
33,10239,587,-2160,0,0
31,22713,545,35390,0,0
31,36696,629,29910,0,0
63,49090,375,-35880,8,0
39,27593,554,-12499,3,0
35,26971,793,8742,1,1
41,10891,288,21392,0,0
30,20382,844,8193,5,1
32,-19590,405,6664,0,0
45,23414,871,4094,2,1
43,8705,490,25478,0,0
31,37385,977,26049,3,1
28,53212,513,12242,3,0
34,-3124,650,37595,0,0
45,37100,644,4240,1,0
34,24789,880,6635,1,1
46,9425,666,-3381,0,0
33,41935,728,10839,2,1
40,46425,681,2516,3,1
45,41922,780,16608,4,1
33,43241,467,10072,3,0
36,68672,585,-22783,7,0
37,32749,807,22251,0,1
35,16769,1047,6908,10,1
34,15065,713,-793,0,1
44,62440,529,8114,9,1
25,29334,768,9042,0,1
40,43939,841,8736,7,1
37,35569,611,29868,0,0
31,34351,467,4663,2,0
24,37494,503,7117,2,0
23,5185,481,8739,0,0
37,38667,669,5323,0,1
37,102961,462,-12399,10,0
41,33863,436,1195,3,0
36,21661,628,18850,0,0
38,22124,647,-10281,1,0
35,44478,691,3630,2,0
35,30635,771,6185,5,1
27,50665,853,32751,3,1
46,18230,529,9268,0,0
24,34331,761,1330,0,1
32,48452,548,1072,3,0
40,67950,345,22714,5,0
29,47148,648,7171,0,1
27,22429,733,18922,0,1
41,35734,730,15094,0,0
36,15802,741,-11464,0,1
32,40101,769,14919,0,1
41,40844,588,-12337,4,0
22,61531,675,4108,5,1
21,23770,661,-5532,0,1
28,43567,709,14267,0,1
47,30937,563,-7007,5,1
38,51443,817,356,11,1
31,32640,683,40,10,1
38,27513,793,-732,0,1
42,34626,767,2397,2,1
39,30150,456,13099,1,0
46,40265,738,15549,0,1
32,37762,626,10335,1,1
29,18043,698,-10614,3,1
48,33524,692,16338,0,0
51,30479,490,-7984,3,0
47,39218,850,10062,7,1
44,46081,572,-20416,5,0
38,57724,804,7521,4,1
28,52224,702,12157,4,1
36,40076,532,-27709,5,0
32,75113,547,-22035,8,0
33,89943,538,13028,6,0
45,24658,486,3790,1,0
37,28806,688,-28952,3,0
25,29554,815,20560,0,1
28,19702,456,20308,0,0
35,73529,488,-17404,8,0
28,48637,478,-22056,6,0
46,56871,661,10503,3,0
42,46825,680,3127,2,0
33,37315,850,16131,3,1
16,36578,723,11312,0,1
31,50718,923,11806,12,1
24,45452,541,-17418,5,0
14,72627,428,12821,5,0
41,36103,666,410,6,1
30,43714,671,3425,2,0
28,64856,493,-11749,6,0
25,40601,496,29276,1,0
44,42620,407,56149,0,0
24,56384,642,3336,2,1
43,25015,556,13046,0,0
39,10424,747,1689,0,1
32,20969,800,-721,0,1
31,45905,259,2286,5,0
37,33464,691,7294,1,0
41,42428,476,44277,0,0
27,27909,575,-5003,0,1
41,14044,551,8281,0,0
33,41972,459,-17163,5,0
47,67715,709,27735,6,1
42,13281,1111,3964,6,1
47,13779,766,-3365,0,1
53,40340,706,8167,1,1
36,35248,387,-13440,4,0
44,23384,463,36971,0,0
47,30574,853,5340,4,1
54,40926,669,-21745,4,0
42,77964,667,-29924,8,0
39,19080,657,-21169,3,1
41,55515,714,5197,3,0
40,16132,557,-5375,1,0
35,36201,564,-7841,3,0
41,29323,663,7240,0,1
26,13101,835,-377,1,1
47,52800,816,16169,0,1
27,4950,441,-8348,1,0
29,31573,797,6402,0,1
45,8789,854,-2560,1,1
38,46187,709,5267,2,1
42,29413,591,15174,0,0
35,47577,974,11404,8,1
43,35930,850,1966,7,1
47,33836,604,12426,0,1
23,36758,864,14714,5,1
33,28867,424,40876,0,0
45,41900,836,19468,0,1
35,8992,821,-11478,0,1
48,67589,690,25693,9,1
38,62075,684,15867,3,1
28,57013,448,30832,2,0
43,50601,883,14377,6,1
50,27442,835,4393,0,1
30,45843,576,32366,0,0
20,39620,713,86,2,1
51,42653,638,-4128,5,1
34,18228,930,-2936,0,1
48,15,839,25607,0,0
34,24966,805,-5789,1,1
